name,team,level,class_last,reliability,player_id,canonical_id,season,last_season,last_n,proj_woba,proj_woba_p10,proj_woba_p90,periph_adj,proj_k_pct,proj_bb_pct,proj_iso,proj_babip,proj_hr_pa,proj_avg,proj_obp
Cade Slayton,Edmonds,JUCO,So,0.382,4317,4317,2027,2025,144,0.3242,0.2539,0.3946,0.0,0.2219,0.1355,0.0975,0.3004,0.012,0.2348,0.3609
Ty Rusko,Skagit,JUCO,Fr,0.639,111,2715,2027,2025,198,0.324,0.2563,0.3917,0.0,0.1183,0.1005,0.0682,0.2985,0.0053,0.2525,0.3644
Kasey Newton,Yakima Valley,JUCO,So,0.486,1349,1349,2027,2026,96,0.324,0.2547,0.3933,-0.0007,0.2284,0.1192,0.0911,0.326,0.0095,0.2566,0.3547
Austin Takahashi,Lane,JUCO,So,0.66,32,32,2027,2026,220,0.3236,0.2561,0.391,-0.0,0.1646,0.112,0.0775,0.3212,0.0049,0.266,0.358
Trevor Kole,UW,D1,Sr+,0.471,3704,3704,2027,2025,219,0.3236,0.2542,0.3931,0.0,0.2436,0.0882,0.1276,0.3347,0.0169,0.2659,0.3417
Mario Martinez,Shoreline,JUCO,Fr,0.446,1120,1120,2027,2026,150,0.3234,0.2537,0.3931,0.0004,0.1683,0.1088,0.1186,0.2949,0.0129,0.2458,0.3467
Logan Williams,Blue Mountain,JUCO,Fr,0.52,99,2806,2027,2025,118,0.3233,0.2543,0.3922,0.0,0.1762,0.1185,0.0689,0.3193,0.0068,0.2601,0.3551
Jacob Beauchaine,Seattle U,D1,Jr,0.515,3683,3683,2027,2026,209,0.3231,0.2541,0.3921,0.0,0.2577,0.097,0.1194,0.3325,0.0192,0.2614,0.3472
Harper Dissmore,Spokane,JUCO,Fr,0.345,1189,1189,2027,2026,98,0.323,0.2523,0.3938,-0.0005,0.2231,0.0931,0.091,0.3267,0.0088,0.2616,0.3508
Tyler Mohler,WOU,D2,Sr,0.551,3109,3109,2027,2026,197,0.3229,0.2543,0.3916,0.0012,0.1137,0.0875,0.111,0.3054,0.019,0.2566,0.3463
Seamus Brown,Olympic,JUCO,So,0.567,1072,1072,2027,2026,163,0.3229,0.2545,0.3914,-0.0002,0.1733,0.1225,0.0897,0.3111,0.0068,0.2534,0.3571
Mac Galvin,Skagit,JUCO,Fr,0.578,113,113,2027,2025,188,0.3229,0.2546,0.3913,0.0,0.1237,0.1025,0.0896,0.2984,0.0095,0.2577,0.3543
Adam Elliot,Mt. Hood,JUCO,So,0.637,1037,1037,2027,2026,184,0.3228,0.2551,0.3905,0.0007,0.1437,0.1275,0.0665,0.2883,0.005,0.2341,0.3677
Owen Mayencourt,Big Bend,JUCO,Fr,0.398,673,673,2027,2026,123,0.3228,0.2526,0.393,-0.0007,0.1536,0.1059,0.1033,0.2978,0.011,0.2462,0.3513
Landon Criste,Clark,JUCO,Fr,0.402,4266,4266,2027,2025,156,0.3227,0.2525,0.3929,0.0,0.1393,0.1037,0.0867,0.2923,0.006,0.2354,0.3581
Tate Kubena,Columbia Basin,JUCO,Fr,0.369,842,842,2027,2026,109,0.3227,0.2522,0.3932,-0.0005,0.1552,0.1216,0.0792,0.3072,0.0061,0.2524,0.3611
Landon Lea,Linn-Benton,JUCO,So,0.306,996,996,2027,2026,82,0.3227,0.2515,0.3939,0.0001,0.169,0.1088,0.07,0.3158,0.0061,0.258,0.358
Connor Dempsey,Everett,JUCO,Fr,0.404,915,915,2027,2026,126,0.3226,0.2525,0.3928,0.0004,0.1467,0.1214,0.0625,0.3161,0.006,0.2646,0.3637
